Inlining (parted)0,Inlining (parted)1,Inlining (parted)2,Map unrolling (parted)0,Map unrolling (parted)1,Unbox options (parted)0,Unbox options (parted)1,Flattening Tuples (parted)0,Flattening Tuples (parted)1,Partially Evaluating Network (parted)0,Partially Evaluating Network (parted)1,Encoding network (parted)0,Encoding network (parted)1,Compiling query (parted)0,Compiling query (parted)1,Slice 0 (parted)0,Slice 0 (parted)1,Entire Program (parted)0,z3 memory (parted)0,z3 memory (parted)1,z3 time (parted)0,z3 time (parted)1,Inlining0,Inlining1,Map unrolling0,Unbox options0,Flattening Tuples0,Partially Evaluating Network0,Encoding network0,Compiling query0,Slice 00,Entire Program0,z3 memory0,z3 time0,Benchmark
0.0055442,0.0394705,0.0901378,0.17247049999999997,0.3355203,0.08697,0.2310616,0.216601,0.42009170000000007,0.0015614,0.004052200000000001,0.041358299999999994,0.09536340000000001,0.0183778,0.0115355,0.10822190000000001,0.1821113,3.4015078,4.1899999999999995,5.619999999999999,0.009999999999999998,0.024,0.0048589,0.0003242,0.0107397,0.004685600000000001,0.0093401,0.0007726,0.0867192,0.007525,0.1606063,0.2198033,6.590000000000002,0.030000000000000006,benchmarks/SinglePrefix/FAT4
0.0435983,4.3156538,8.965524599999998,6.6225426,14.0342461,3.7823922000000003,10.0666219,7.798055799999998,15.479622400000002,0.014961100000000001,0.0236743,0.8976717000000001,3.3657537000000004,0.5408143000000001,0.059145600000000007,1.7672899999999998,3.9952596999999996,258.99777660000007,10.879999999999999,28.17000000000001,0.049999999999999996,0.22600000000000003,0.048158700000000006,0.003939499999999999,0.04060779999999999,0.024004,0.0622131,0.005580600000000001,1.4139772999999998,0.07671679999999999,3.2649201999999997,3.7319831999999997,30.380000000000003,1.4920000000000004,benchmarks/SinglePrefix/FAT8
error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,0.074915,0.008769899999999999,0.0818189,0.041982399999999996,0.09105769999999999,0.014619299999999998,5.2747321000000005,0.1756584,12.054585600000001,13.200995899999999,55.730000000000004,6.045,benchmarks/SinglePrefix/FAT10
error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,0.1263582,0.0134138,0.1235141,0.07103309999999999,0.132582,0.0202899,15.156604100000001,0.24248489999999995,30.091026799999998,32.192032399999995,79.27,13.693999999999999,benchmarks/SinglePrefix/FAT12
